anime_id,title,genre,aired,episodes,members,popularity,ranked,score
1,Cowboy Bebop,Action,Apr 3 1998 to Apr 24 1999,26,930311,39,26,8.81
1,Cowboy Bebop,Adventure,Apr 3 1998 to Apr 24 1999,26,930311,39,26,8.81
1,Cowboy Bebop,Comedy,Apr 3 1998 to Apr 24 1999,26,930311,39,26,8.81
1,Cowboy Bebop,Drama,Apr 3 1998 to Apr 24 1999,26,930311,39,26,8.81
1,Cowboy Bebop,Sci-Fi,Apr 3 1998 to Apr 24 1999,26,930311,39,26,8.81
1,Cowboy Bebop,Space,Apr 3 1998 to Apr 24 1999,26,930311,39,26,8.81
5,Cowboy Bebop: Tengoku no Tobira,Action,Sep 1 2001,1,223199,475,149,8.4
5,Cowboy Bebop: Tengoku no Tobira,Drama,Sep 1 2001,1,223199,475,149,8.4
5,Cowboy Bebop: Tengoku no Tobira,Mystery,Sep 1 2001,1,223199,475,149,8.4
5,Cowboy Bebop: Tengoku no Tobira,Sci-Fi,Sep 1 2001,1,223199,475,149,8.4
5,Cowboy Bebop: Tengoku no Tobira,Space,Sep 1 2001,1,223199,475,149,8.4
6,Trigun,Action,Apr 1 1998 to Sep 30 1998,26,460146,158,256,8.28
6,Trigun,Sci-Fi,Apr 1 1998 to Sep 30 1998,26,460146,158,256,8.28
6,Trigun,Adventure,Apr 1 1998 to Sep 30 1998,26,460146,158,256,8.28
6,Trigun,Comedy,Apr 1 1998 to Sep 30 1998,26,460146,158,256,8.28
6,Trigun,Drama,Apr 1 1998 to Sep 30 1998,26,460146,158,256,8.28
6,Trigun,Shounen,Apr 1 1998 to Sep 30 1998,26,460146,158,256,8.28
7,Witch Hunter Robin,Action,Jul 2 2002 to Dec 24 2002,26,85182,1278,2487,7.32
7,Witch Hunter Robin,Magic,Jul 2 2002 to Dec 24 2002,26,85182,1278,2487,7.32
7,Witch Hunter Robin,Police,Jul 2 2002 to Dec 24 2002,26,85182,1278,2487,7.32
7,Witch Hunter Robin,Supernatural,Jul 2 2002 to Dec 24 2002,26,85182,1278,2487,7.32
7,Witch Hunter Robin,Drama,Jul 2 2002 to Dec 24 2002,26,85182,1278,2487,7.32
7,Witch Hunter Robin,Mystery,Jul 2 2002 to Dec 24 2002,26,85182,1278,2487,7.32
8,Bouken Ou Beet,Adventure,Sep 30 2004 to Sep 29 2005,52,12319,3968,3704,7.02
8,Bouken Ou Beet,Fantasy,Sep 30 2004 to Sep 29 2005,52,12319,3968,3704,7.02
8,Bouken Ou Beet,Shounen,Sep 30 2004 to Sep 29 2005,52,12319,3968,3704,7.02
8,Bouken Ou Beet,Supernatural,Sep 30 2004 to Sep 29 2005,52,12319,3968,3704,7.02
15,Eyeshield 21,Action,Apr 6 2005 to Mar 19 2008,145,126760,888,542,8.02
15,Eyeshield 21,Sports,Apr 6 2005 to Mar 19 2008,145,126760,888,542,8.02
15,Eyeshield 21,Comedy,Apr 6 2005 to Mar 19 2008,145,126760,888,542,8.02
15,Eyeshield 21,Shounen,Apr 6 2005 to Mar 19 2008,145,126760,888,542,8.02
16,Hachimitsu to Clover,Comedy,Apr 15 2005 to Sep 27 2005,24,186696,578,436,8.11
16,Hachimitsu to Clover,Drama,Apr 15 2005 to Sep 27 2005,24,186696,578,436,8.11
16,Hachimitsu to Clover,Josei,Apr 15 2005 to Sep 27 2005,24,186696,578,436,8.11
16,Hachimitsu to Clover,Romance,Apr 15 2005 to Sep 27 2005,24,186696,578,436,8.11
16,Hachimitsu to Clover,SliceofLife,Apr 15 2005 to Sep 27 2005,24,186696,578,436,8.11
17,Hungry Heart: Wild Striker,SliceofLife,Sep 11 2002 to Sep 10 2003,52,18370,3330,1273,7.65
17,Hungry Heart: Wild Striker,Comedy,Sep 11 2002 to Sep 10 2003,52,18370,3330,1273,7.65
17,Hungry Heart: Wild Striker,Sports,Sep 11 2002 to Sep 10 2003,52,18370,3330,1273,7.65
17,Hungry Heart: Wild Striker,Shounen,Sep 11 2002 to Sep 10 2003,52,18370,3330,1273,7.65
18,Initial D Fourth Stage,Action,Apr 17 2004 to Feb 18 2006,24,87746,1228,336,8.18
18,Initial D Fourth Stage,Cars,Apr 17 2004 to Feb 18 2006,24,87746,1228,336,8.18
18,Initial D Fourth Stage,Sports,Apr 17 2004 to Feb 18 2006,24,87746,1228,336,8.18
18,Initial D Fourth Stage,Drama,Apr 17 2004 to Feb 18 2006,24,87746,1228,336,8.18
18,Initial D Fourth Stage,Seinen,Apr 17 2004 to Feb 18 2006,24,87746,1228,336,8.18
19,Monster,Drama,Apr 7 2004 to Sep 28 2005,74,459710,159,46,8.69
19,Monster,Horror,Apr 7 2004 to Sep 28 2005,74,459710,159,46,8.69
19,Monster,Mystery,Apr 7 2004 to Sep 28 2005,74,459710,159,46,8.69
19,Monster,Police,Apr 7 2004 to Sep 28 2005,74,459710,159,46,8.69
19,Monster,Psychological,Apr 7 2004 to Sep 28 2005,74,459710,159,46,8.69
19,Monster,Seinen,Apr 7 2004 to Sep 28 2005,74,459710,159,46,8.69
19,Monster,Thriller,Apr 7 2004 to Sep 28 2005,74,459710,159,46,8.69
20,Naruto,Action,Oct 3 2002 to Feb 8 2007,220,1280914,9,670,7.93
20,Naruto,Adventure,Oct 3 2002 to Feb 8 2007,220,1280914,9,670,7.93
20,Naruto,Comedy,Oct 3 2002 to Feb 8 2007,220,1280914,9,670,7.93
20,Naruto,SuperPower,Oct 3 2002 to Feb 8 2007,220,1280914,9,670,7.93
20,Naruto,MartialArts,Oct 3 2002 to Feb 8 2007,220,1280914,9,670,7.93
20,Naruto,Shounen,Oct 3 2002 to Feb 8 2007,220,1280914,9,670,7.93
21,One Piece,Action,Oct 20 1999 to ?,,948342,35,86,8.53
21,One Piece,Adventure,Oct 20 1999 to ?,,948342,35,86,8.53
21,One Piece,Comedy,Oct 20 1999 to ?,,948342,35,86,8.53
21,One Piece,SuperPower,Oct 20 1999 to ?,,948342,35,86,8.53
21,One Piece,Drama,Oct 20 1999 to ?,,948342,35,86,8.53
21,One Piece,Fantasy,Oct 20 1999 to ?,,948342,35,86,8.53
21,One Piece,Shounen,Oct 20 1999 to ?,,948342,35,86,8.53
22,Tennis no Ouji-sama,Action,Oct 10 2001 to Mar 23 2005,178,122801,915,627,7.97
22,Tennis no Ouji-sama,Comedy,Oct 10 2001 to Mar 23 2005,178,122801,915,627,7.97
22,Tennis no Ouji-sama,Sports,Oct 10 2001 to Mar 23 2005,178,122801,915,627,7.97
22,Tennis no Ouji-sama,School,Oct 10 2001 to Mar 23 2005,178,122801,915,627,7.97
22,Tennis no Ouji-sama,Shounen,Oct 10 2001 to Mar 23 2005,178,122801,915,627,7.97
23,Ring ni Kakero 1,Action,Oct 6 2004 to Dec 15 2004,12,3214,6847,6136,6.49
23,Ring ni Kakero 1,Shounen,Oct 6 2004 to Dec 15 2004,12,3214,6847,6136,6.49
23,Ring ni Kakero 1,Sports,Oct 6 2004 to Dec 15 2004,12,3214,6847,6136,6.49
24,School Rumble,Comedy,Oct 5 2004 to Mar 29 2005,26,243964,412,604,7.99
24,School Rumble,Romance,Oct 5 2004 to Mar 29 2005,26,243964,412,604,7.99
24,School Rumble,School,Oct 5 2004 to Mar 29 2005,26,243964,412,604,7.99
24,School Rumble,Shounen,Oct 5 2004 to Mar 29 2005,26,243964,412,604,7.99
